text,author,title
ἀλλʼ ἴθι μή μʼ ἐρέθιζε σαώτερος ὥς κε νέηαι.,Homer,Iliad
"ὣς ἔφατʼ, ἔδεισεν δʼ ὃ γέρων καὶ ἐπείθετο μύθῳ·",Homer,Iliad
βῆ δʼ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·,Homer,Iliad
πολλὰ δʼ ἔπειτʼ ἀπάνευθε κιὼν ἠρᾶθʼ ὃ γεραιὸς,Homer,Iliad
"Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ·",Homer,Iliad
"κλῦθί μευ ἀργυρότοξʼ, ὃς Χρύσην ἀμφιβέβηκας",Homer,Iliad
"Κίλλαν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,",Homer,Iliad
"Σμινθεῦ εἴ ποτέ τοι χαρίεντʼ ἐπὶ νηὸν ἔρεψα,",Homer,Iliad
ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρίʼ ἔκηα,Homer,Iliad
"ταύρων ἠδʼ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ·",Homer,Iliad
τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,Homer,Iliad
"ὣς ἔφατʼ εὐχόμενος, τοῦ δʼ ἔκλυε Φοῖβος Ἀπόλλων,",Homer,Iliad
"βῆ δὲ κατʼ Οὐλύμποιο καρήνων χωόμενος κῆρ,",Homer,Iliad
τόξʼ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·,Homer,Iliad
"ἔκλαγξαν δʼ ἄρʼ ὀϊστοὶ ἐπʼ ὤμων χωομένοιο,",Homer,Iliad
αὐτοῦ κινηθέντος· ὃ δʼ ἤϊε νυκτὶ ἐοικώς.,Homer,Iliad
"ἕζετʼ ἔπειτʼ ἀπάνευθε νεῶν, μετὰ δʼ ἰὸν ἕηκε·",Homer,Iliad
δεινὴ δὲ κλαγγὴ γένετʼ ἀργυρέοιο βιοῖο·,Homer,Iliad
"οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,",Homer,Iliad
αὐτὰρ ἔπειτʼ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,Homer,Iliad
βάλλʼ· αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,Homer,Iliad
"ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,",Homer,Iliad
τῇ δεκάτῃ δʼ ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·,Homer,Iliad
τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη·,Homer,Iliad
"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.",Homer,Iliad
"οἳ δʼ ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,",Homer,Iliad
τοῖσι δʼ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·,Homer,Iliad
Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,Homer,Iliad
"ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,",Homer,Iliad
εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς·,Homer,Iliad
ἀλλʼ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα,Homer,Iliad
"ἢ καὶ ὀνειροπόλον, καὶ γάρ τʼ ὄναρ ἐκ Διός ἐστιν,",Homer,Iliad
"ὅς κʼ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,",Homer,Iliad
"εἴτʼ ἄρʼ ὅ γʼ εὐχωλῆς ἐπιμέμφεται ἠδʼ ἑκατόμβης,",Homer,Iliad
αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,Homer,Iliad
βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.,Homer,Iliad
ἤτοι ὅ γʼ ὣς εἰπὼν κατʼ ἄρʼ ἕζετο· τοῖσι δʼ ἀνέστη,Homer,Iliad
"Κάλχας Θεστορίδης οἰωνοπόλων ὄχʼ ἄριστος,",Homer,Iliad
"ὃς ᾔδη τά τʼ ἐόντα τά τʼ ἐσσόμενα πρό τʼ ἐόντα,",Homer,Iliad
καὶ νήεσσʼ ἡγήσατʼ Ἀχαιῶν Ἴλιον εἴσω,Homer,Iliad
"ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων·",Homer,Iliad
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν·,Homer,Iliad
ὦ Ἀχιλεῦ κέλεαί με Διῒ φίλε μυθήσασθαι,Homer,Iliad
μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος·,Homer,Iliad
τοὶ γὰρ ἐγὼν ἐρέω· σὺ δὲ σύνθεο καί μοι ὄμοσσον,Homer,Iliad
ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν·,Homer,Iliad
"ἦ γὰρ ὀΐομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων",Homer,Iliad
Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί·,Homer,Iliad
κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ·,Homer,Iliad
"εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,",Homer,Iliad
"ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,",Homer,Iliad
ἐν στήθεσσιν ἑοῖσι· σὺ δὲ φράσαι εἴ με σαώσεις.,Homer,Iliad
τὸν δʼ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·,Homer,Iliad
θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα·,Homer,Iliad
"οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον, ᾧ τε σὺ Κάλχαν",Homer,Iliad
"εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,",Homer,Iliad
οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο,Homer,Iliad
σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει,Homer,Iliad
"συμπάντων Δαναῶν, οὐδʼ ἢν Ἀγαμέμνονα εἴπῃς,",Homer,Iliad
ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.,Homer,Iliad
καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων·,Homer,Iliad
"οὔ τʼ ἄρ ὅ γʼ εὐχωλῆς ἐπιμέμφεται οὐδʼ ἑκατόμβης,",Homer,Iliad
"ἀλλʼ ἕνεκʼ ἀρητῆρος ὃν ἠτίμησʼ Ἀγαμέμνων,",Homer,Iliad
"οὐδʼ ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατʼ ἄποινα,",Homer,Iliad
τοὔνεκʼ ἄρʼ ἄλγεʼ ἔδωκεν ἑκηβόλος ἠδʼ ἔτι δώσει·,Homer,Iliad
οὐδʼ ὅ γε πρὶν Δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει,Homer,Iliad
πρίν γʼ ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην,Homer,Iliad
"ἀπριάτην ἀνάποινον, ἄγειν θʼ ἱερὴν ἑκατόμβην",Homer,Iliad
ἐς Χρύσην· τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν.,Homer,Iliad
ἤτοι ὅ γʼ ὣς εἰπὼν κατʼ ἄρʼ ἕζετο· τοῖσι δʼ ἀνέστη,Homer,Iliad
ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων,Homer,Iliad
ἀχνύμενος· μένεος δὲ μέγα φρένες ἀμφιμέλαιναι,Homer,Iliad
"πίμπλαντʼ, ὄσσε δέ οἱ πυρὶ λαμπετόωντι ἐΐκτην·",Homer,Iliad
Κάλχαντα πρώτιστα κάκʼ ὀσσόμενος προσέειπε·,Homer,Iliad
μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας·,Homer,Iliad
"αἰεί τοι τὰ κάκʼ ἐστὶ φίλα φρεσὶ μαντεύεσθαι,",Homer,Iliad
ἐσθλὸν δʼ οὔτέ τί πω εἶπας ἔπος οὔτʼ ἐτέλεσσας·,Homer,Iliad
καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις,Homer,Iliad
"ὡς δὴ τοῦδʼ ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,",Homer,Iliad
οὕνεκʼ ἐγὼ κούρης Χρυσηΐδος ἀγλάʼ ἄποινα,Homer,Iliad
"οὐκ ἔθελον δέξασθαι, ἐπεὶ πολὺ βούλομαι αὐτὴν",Homer,Iliad
οἴκοι ἔχειν· καὶ γάρ ῥα Κλυταιμνήστρης προβέβουλα,Homer,Iliad
"κουριδίης ἀλόχου, ἐπεὶ οὔ ἑθέν ἐστι χερείων,",Homer,Iliad
"οὐ δέμας οὐδὲ φυήν, οὔτʼ ἂρ φρένας οὔτέ τι ἔργα.",Homer,Iliad
ἀλλὰ καὶ ὧς ἐθέλω δόμεναι πάλιν εἰ τό γʼ ἄμεινον·,Homer,Iliad
βούλομʼ ἐγὼ λαὸν σῶν ἔμμεναι ἢ ἀπολέσθαι·,Homer,Iliad
αὐτὰρ ἐμοὶ γέρας αὐτίχʼ ἑτοιμάσατʼ ὄφρα μὴ οἶος,Homer,Iliad
"Ἀργείων ἀγέραστος ἔω, ἐπεὶ οὐδὲ ἔοικε·",Homer,Iliad
λεύσσετε γὰρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ.,Homer,Iliad
τὸν δʼ ἠμείβετʼ ἔπειτα ποδάρκης δῖος Ἀχιλλεύς·,Homer,Iliad
"Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,",Homer,Iliad
πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι Ἀχαιοί;,Homer,Iliad
οὐδέ τί που ἴδμεν ξυνήϊα κείμενα πολλά·,Homer,Iliad
"ἀλλὰ τὰ μὲν πολίων ἐξεπράθομεν, τὰ δέδασται,",Homer,Iliad
λαοὺς δʼ οὐκ ἐπέοικε παλίλλογα ταῦτʼ ἐπαγείρειν.,Homer,Iliad
ἀλλὰ σὺ μὲν νῦν τήνδε θεῷ πρόες· αὐτὰρ Ἀχαιοὶ,Homer,Iliad
"τριπλῇ τετραπλῇ τʼ ἀποτείσομεν, αἴ κέ ποθι Ζεὺς",Homer,Iliad
δῷσι πόλιν Τροίην εὐτείχεον ἐξαλαπάξαι.,Homer,Iliad
τὸν δʼ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·,Homer,Iliad
μὴ δʼ οὕτως ἀγαθός περ ἐὼν θεοείκελʼ Ἀχιλλεῦ,Homer,Iliad
"κλέπτε νόῳ, ἐπεὶ οὐ παρελεύσεαι οὐδέ με πείσεις.",Homer,Iliad
"ἦ ἐθέλεις ὄφρʼ αὐτὸς ἔχῃς γέρας, αὐτὰρ ἔμʼ αὔτως",Homer,Iliad
"ἧσθαι δευόμενον, κέλεαι δέ με τήνδʼ ἀποδοῦναι;",Homer,Iliad
ἀλλʼ εἰ μὲν δώσουσι γέρας μεγάθυμοι Ἀχαιοὶ,Homer,Iliad
ἄρσαντες κατὰ θυμὸν ὅπως ἀντάξιον ἔσται·,Homer,Iliad
εἰ δέ κε μὴ δώωσιν ἐγὼ δέ κεν αὐτὸς ἕλωμαι,Homer,Iliad
"ἢ τεὸν ἢ Αἴαντος ἰὼν γέρας, ἢ Ὀδυσῆος",Homer,Iliad
ἄξω ἑλών· ὃ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι.,Homer,Iliad
"ἀλλʼ ἤτοι μὲν ταῦτα μεταφρασόμεσθα καὶ αὖτις,",Homer,Iliad
"νῦν δʼ ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν,",Homer,Iliad
"ἐν δʼ ἐρέτας ἐπιτηδὲς ἀγείρομεν, ἐς δʼ ἑκατόμβην",Homer,Iliad
"θείομεν, ἂν δʼ αὐτὴν Χρυσηΐδα καλλιπάρῃον",Homer,Iliad
"βήσομεν· εἷς δέ τις ἀρχὸς ἀνὴρ βουληφόρος ἔστω,",Homer,Iliad
ἢ Αἴας ἢ Ἰδομενεὺς ἢ δῖος Ὀδυσσεὺς,Homer,Iliad
"ἠὲ σὺ Πηλεΐδη πάντων ἐκπαγλότατʼ ἀνδρῶν,",Homer,Iliad
ὄφρʼ ἥμιν ἑκάεργον ἱλάσσεαι ἱερὰ ῥέξας.,Homer,Iliad
τὸν δʼ ἄρʼ ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς Ἀχιλλεύς·,Homer,Iliad
ὤ μοι ἀναιδείην ἐπιειμένε κερδαλεόφρον,Homer,Iliad
πῶς τίς τοι πρόφρων ἔπεσιν πείθηται Ἀχαιῶν,Homer,Iliad
ἢ ὁδὸν ἐλθέμεναι ἢ ἀνδράσιν ἶφι μάχεσθαι;,Homer,Iliad
οὐ γὰρ ἐγὼ Τρώων ἕνεκʼ ἤλυθον αἰχμητάων,Homer,Iliad
"δεῦρο μαχησόμενος, ἐπεὶ οὔ τί μοι αἴτιοί εἰσιν·",Homer,Iliad
"οὐ γὰρ πώποτʼ ἐμὰς βοῦς ἤλασαν οὐδὲ μὲν ἵππους,",Homer,Iliad
οὐδέ ποτʼ ἐν Φθίῃ ἐριβώλακι βωτιανείρῃ,Homer,Iliad
"καρπὸν ἐδηλήσαντʼ, ἐπεὶ ἦ μάλα πολλὰ μεταξὺ",Homer,Iliad
οὔρεά τε σκιόεντα θάλασσά τε ἠχήεσσα·,Homer,Iliad
"ἀλλὰ σοὶ ὦ μέγʼ ἀναιδὲς ἅμʼ ἑσπόμεθʼ ὄφρα σὺ χαίρῃς,",Homer,Iliad
τιμὴν ἀρνύμενοι Μενελάῳ σοί τε κυνῶπα,Homer,Iliad
πρὸς Τρώων· τῶν οὔ τι μετατρέπῃ οὐδʼ ἀλεγίζεις·,Homer,Iliad
"καὶ δή μοι γέρας αὐτὸς ἀφαιρήσεσθαι ἀπειλεῖς,",Homer,Iliad
"ᾧ ἔπι πολλὰ μόγησα, δόσαν δέ μοι υἷες Ἀχαιῶν.",Homer,Iliad
οὐ μὲν σοί ποτε ἶσον ἔχω γέρας ὁππότʼ Ἀχαιοὶ,Homer,Iliad
Τρώων ἐκπέρσωσʼ εὖ ναιόμενον πτολίεθρον·,Homer,Iliad
ἀλλὰ τὸ μὲν πλεῖον πολυάϊκος πολέμοιο,Homer,Iliad
"χεῖρες ἐμαὶ διέπουσʼ· ἀτὰρ ἤν ποτε δασμὸς ἵκηται,",Homer,Iliad
"σοὶ τὸ γέρας πολὺ μεῖζον, ἐγὼ δʼ ὀλίγον τε φίλον τε",Homer,Iliad
"ἔρχομʼ ἔχων ἐπὶ νῆας, ἐπεί κε κάμω πολεμίζων.",Homer,Iliad
"νῦν δʼ εἶμι Φθίην δʼ, ἐπεὶ ἦ πολὺ φέρτερόν ἐστιν",Homer,Iliad
"οἴκαδʼ ἴμεν σὺν νηυσὶ κορωνίσιν, οὐδέ σʼ ὀΐω",Homer,Iliad
ἐνθάδʼ ἄτιμος ἐὼν ἄφενος καὶ πλοῦτον ἀφύξειν.,Homer,Iliad
τὸν δʼ ἠμείβετʼ ἔπειτα ἄναξ ἀνδρῶν Ἀγαμέμνων·,Homer,Iliad
"φεῦγε μάλʼ εἴ τοι θυμὸς ἐπέσσυται, οὐδέ σʼ ἔγωγε",Homer,Iliad
λίσσομαι εἵνεκʼ ἐμεῖο μένειν· πάρʼ ἔμοιγε καὶ ἄλλοι,Homer,Iliad
"οἵ κέ με τιμήσουσι, μάλιστα δὲ μητίετα Ζεύς.",Homer,Iliad
ἔχθιστος δέ μοί ἐσσι διοτρεφέων βασιλήων·,Homer,Iliad
αἰεὶ γάρ τοι ἔρις τε φίλη πόλεμοί τε μάχαι τε·,Homer,Iliad
"εἰ μάλα καρτερός ἐσσι, θεός που σοὶ τό γʼ ἔδωκεν·",Homer,Iliad
οἴκαδʼ ἰὼν σὺν νηυσί τε σῇς καὶ σοῖς ἑτάροισι,Homer,Iliad
"Μυρμιδόνεσσιν ἄνασσε, σέθεν δʼ ἐγὼ οὐκ ἀλεγίζω,",Homer,Iliad
οὐδʼ ὄθομαι κοτέοντος· ἀπειλήσω δέ τοι ὧδε·,Homer,Iliad
"ὡς ἔμʼ ἀφαιρεῖται Χρυσηΐδα Φοῖβος Ἀπόλλων,",Homer,Iliad
τὴν μὲν ἐγὼ σὺν νηΐ τʼ ἐμῇ καὶ ἐμοῖς ἑτάροισι,Homer,Iliad
"πέμψω, ἐγὼ δέ κʼ ἄγω Βρισηΐδα καλλιπάρῃον",Homer,Iliad
αὐτὸς ἰὼν κλισίην δὲ τὸ σὸν γέρας ὄφρʼ ἐῢ εἰδῇς,Homer,Iliad
"ὅσσον φέρτερός εἰμι σέθεν, στυγέῃ δὲ καὶ ἄλλος",Homer,Iliad
ἶσον ἐμοὶ φάσθαι καὶ ὁμοιωθήμεναι ἄντην.,Homer,Iliad
"ὣς φάτο· Πηλεΐωνι δʼ ἄχος γένετʼ, ἐν δέ οἱ ἦτορ",Homer,Iliad
"στήθεσσιν λασίοισι διάνδιχα μερμήριξεν,",Homer,Iliad
ἢ ὅ γε φάσγανον ὀξὺ ἐρυσσάμενος παρὰ μηροῦ,Homer,Iliad
"τοὺς μὲν ἀναστήσειεν, ὃ δʼ Ἀτρεΐδην ἐναρίζοι,",Homer,Iliad
ἦε χόλον παύσειεν ἐρητύσειέ τε θυμόν.,Homer,Iliad
"ἧος ὃ ταῦθʼ ὥρμαινε κατὰ φρένα καὶ κατὰ θυμόν,",Homer,Iliad
"ἕλκετο δʼ ἐκ κολεοῖο μέγα ξίφος, ἦλθε δʼ Ἀθήνη",Homer,Iliad
οὐρανόθεν· πρὸ γὰρ ἧκε θεὰ λευκώλενος Ἥρη,Homer,Iliad
ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε·,Homer,Iliad
"στῆ δʼ ὄπιθεν, ξανθῆς δὲ κόμης ἕλε Πηλεΐωνα",Homer,Iliad
οἴῳ φαινομένη· τῶν δʼ ἄλλων οὔ τις ὁρᾶτο·,Homer,Iliad
"θάμβησεν δʼ Ἀχιλεύς, μετὰ δʼ ἐτράπετʼ, αὐτίκα δʼ ἔγνω",Homer,Iliad
Παλλάδʼ Ἀθηναίην· δεινὼ δέ οἱ ὄσσε φάανθεν·,Homer,Iliad
καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα·,Homer,Iliad
τίπτʼ αὖτʼ αἰγιόχοιο Διὸς τέκος εἰλήλουθας;,Homer,Iliad
ἦ ἵνα ὕβριν ἴδῃ Ἀγαμέμνονος Ἀτρεΐδαο;,Homer,Iliad
"ἀλλʼ ἔκ τοι ἐρέω, τὸ δὲ καὶ τελέεσθαι ὀΐω·",Homer,Iliad
ᾗς ὑπεροπλίῃσι τάχʼ ἄν ποτε θυμὸν ὀλέσσῃ.,Homer,Iliad
τὸν δʼ αὖτε προσέειπε θεὰ γλαυκῶπις Ἀθήνη·,Homer,Iliad
"ἦλθον ἐγὼ παύσουσα τὸ σὸν μένος, αἴ κε πίθηαι,",Homer,Iliad
οὐρανόθεν· πρὸ δέ μʼ ἧκε θεὰ λευκώλενος Ἥρη,Homer,Iliad
ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε·,Homer,Iliad
"ἀλλʼ ἄγε λῆγʼ ἔριδος, μηδὲ ξίφος ἕλκεο χειρί·",Homer,Iliad
ἀλλʼ ἤτοι ἔπεσιν μὲν ὀνείδισον ὡς ἔσεταί περ·,Homer,Iliad
"ὧδε γὰρ ἐξερέω, τὸ δὲ καὶ τετελεσμένον ἔσται·",Homer,Iliad
καί ποτέ τοι τρὶς τόσσα παρέσσεται ἀγλαὰ δῶρα,Homer,Iliad
"ὕβριος εἵνεκα τῆσδε· σὺ δʼ ἴσχεο, πείθεο δʼ ἡμῖν.",Homer,Iliad
τὴν δʼ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·,Homer,Iliad
χρὴ μὲν σφωΐτερόν γε θεὰ ἔπος εἰρύσσασθαι,Homer,Iliad
καὶ μάλα περ θυμῷ κεχολωμένον· ὧς γὰρ ἄμεινον·,Homer,Iliad
ὅς κε θεοῖς ἐπιπείθηται μάλα τʼ ἔκλυον αὐτοῦ.,Homer,Iliad
"ἦ καὶ ἐπʼ ἀργυρέῃ κώπῃ σχέθε χεῖρα βαρεῖαν,",Homer,Iliad
"ἂψ δʼ ἐς κουλεὸν ὦσε μέγα ξίφος, οὐδʼ ἀπίθησε",Homer,Iliad
μύθῳ Ἀθηναίης· ἣ δʼ Οὔλυμπον δὲ βεβήκει,Homer,Iliad
δώματʼ ἐς αἰγιόχοιο Διὸς μετὰ δαίμονας ἄλλους.,Homer,Iliad
Πηλεΐδης δʼ ἐξαῦτις ἀταρτηροῖς ἐπέεσσιν,Homer,Iliad
"Ἀτρεΐδην προσέειπε, καὶ οὔ πω λῆγε χόλοιο·",Homer,Iliad
"οἰνοβαρές, κυνὸς ὄμματʼ ἔχων, κραδίην δʼ ἐλάφοιο,",Homer,Iliad
οὔτέ ποτʼ ἐς πόλεμον ἅμα λαῷ θωρηχθῆναι,Homer,Iliad
οὔτε λόχον δʼ ἰέναι σὺν ἀριστήεσσιν Ἀχαιῶν,Homer,Iliad
τέτληκας θυμῷ· τὸ δέ τοι κὴρ εἴδεται εἶναι.,Homer,Iliad
ἦ πολὺ λώϊόν ἐστι κατὰ στρατὸν εὐρὺν Ἀχαιῶν,Homer,Iliad
δῶρʼ ἀποαιρεῖσθαι ὅς τις σέθεν ἀντίον εἴπῃ·,Homer,Iliad
δημοβόρος βασιλεὺς ἐπεὶ οὐτιδανοῖσιν ἀνάσσεις·,Homer,Iliad
ἦ γὰρ ἂν Ἀτρεΐδη νῦν ὕστατα λωβήσαιο.,Homer,Iliad
ἀλλʼ ἔκ τοι ἐρέω καὶ ἐπὶ μέγαν ὅρκον ὀμοῦμαι·,Homer,Iliad
"ναὶ μὰ τόδε σκῆπτρον, τὸ μὲν οὔ ποτε φύλλα καὶ ὄζους",Homer,Iliad
"φύσει, ἐπεὶ δὴ πρῶτα τομὴν ἐν ὄρεσσι λέλοιπεν,",Homer,Iliad
οὐδʼ ἀναθηλήσει· περὶ γάρ ῥά ἑ χαλκὸς ἔλεψε,Homer,Iliad
φύλλά τε καὶ φλοιόν· νῦν αὖτέ μιν υἷες Ἀχαιῶν,Homer,Iliad
"ἐν παλάμῃς φορέουσι δικασπόλοι, οἵ τε θέμιστας",Homer,Iliad
πρὸς Διὸς εἰρύαται· ὃ δέ τοι μέγας ἔσσεται ὅρκος·,Homer,Iliad
ἦ ποτʼ Ἀχιλλῆος ποθὴ ἵξεται υἷας Ἀχαιῶν,Homer,Iliad
σύμπαντας· τότε δʼ οὔ τι δυνήσεαι ἀχνύμενός περ,Homer,Iliad
"χραισμεῖν, εὖτʼ ἂν πολλοὶ ὑφʼ Ἕκτορος ἀνδροφόνοιο",Homer,Iliad
θνήσκοντες πίπτωσι· σὺ δʼ ἔνδοθι θυμὸν ἀμύξεις,Homer,Iliad
χωόμενος ὅ τʼ ἄριστον Ἀχαιῶν οὐδὲν ἔτισας.,Homer,Iliad
"ὣς φάτο Πηλεΐδης, ποτὶ δὲ σκῆπτρον βάλε γαίῃ",Homer,Iliad
"χρυσείοις ἥλοισι πεπαρμένον, ἕζετο δʼ αὐτός·",Homer,Iliad
Ἀτρεΐδης δʼ ἑτέρωθεν ἐμήνιε· τοῖσι δὲ Νέστωρ,Homer,Iliad
"ἡδυεπὴς ἀνόρουσε λιγὺς Πυλίων ἀγορητής,",Homer,Iliad
τοῦ καὶ ἀπὸ γλώσσης μέλιτος γλυκίων ῥέεν αὐδή·,Homer,Iliad
τῷ δʼ ἤδη δύο μὲν γενεαὶ μερόπων ἀνθρώπων,Homer,Iliad
